Tinsin|Sugarsap
Sugarsap Miles|O
Angling for Perfection|2188
Island Ichthyologist|69
Island Togetherness|47
You've Got the Bug|3140
Bugs Don't Bug Me|66
Have a Nice DIY!|200
Deep Dive|290
Underwater Understudy|24
DIY Tools|598
DIY Furniture|227
Furniture Freshener|199
Rough-hewn|4029
Trashed Tools|200
Rock-Splitting Champ|O
Bona Fide Bone Finder!|O
Fossil Assessment|500
Greedy Weeder|2306
Flower Power|300
Flower Tender|900
Tomorrow's Trees Today|30
Pick of the Bunch|2123
Fruit Roots|OOOOOO
Shrubbery Hubbubbery|20
Go Ahead. Be Shellfish!|1000
Clam and Collected|200
Trash Fishin'|20
Cast Master|100
Dream House|7
Decorated Decorator|X
Hoard Reward|150
Good Things in Store!|300
Remarkable Remodeler|5
Smile Isle|43
Reaction Ruler|42
Island Shutterbug|O
Edit Credit|O
NookPhone Life|O
That's One Smart Phone|O
Shop To It|200
Growing Collection|500
Nook Miles for Miles!|2520
First-Time Buyer|O
Seller of Unwanted Stuff|O
Moving Fees Paid!|O
Bell Ringer|5000000
Miles for Stalkholders|O
Cornering the Stalk Market|584780
No More Loan Payments!|O
Bulletin-Board Benefit|O
Popular Pen Pal|9
Flea Flicker|10
Cicada Memories|O
Netting Better!|O
Pit-y Party|O
Taking the Sting Out|O
Faint of Heart|O
Overcoming Pitfalls|O
Faked Out!|O
Lost Treasure|O
It's Raining Treasure!|300
Fun with Fences|20
Snowmaestro|0
Wishes Come True|200
Exterior Decorator|10
[ISLAND] Icons|OO
Island Designer|OOO
Wispy Island Secrets|20
Gulliver's Travails|20
K.K. Mania|19
True Patron of the Arts|11
You Otter Know|20
True Friends|3
Birthday Celebration|5
Happy Birthday!|X
Fishing Tourney!|XOXX
Bug-Off!|OOXO
Countdown Celebration|X
Making a Change|O
First Custom Design!|O
Custom Design Pro!|O
Paydirt!|O
Shady Shakedown|100
Golden Milestone|XXXOXX
Island and Yourland|10
Host the Most|10
Active Island Resident|205
